question_id:ID(Question),text
Q06534,What are the symptoms of Hypohidrotic ectodermal dysplasia with immune deficiency ?
Q06535,What is (are) Tracheoesophageal fistula ?
Q06536,What are the symptoms of Tracheoesophageal fistula ?
Q06537,Is Tracheoesophageal fistula inherited ?
Q06538,What is (are) X-linked congenital stationary night blindness ?
Q06539,What are the symptoms of X-linked congenital stationary night blindness ?
Q06540,How to diagnose X-linked congenital stationary night blindness ?
Q06541,"What is (are) Camurati Engelmann disease, type 2 ?"
Q06542,What are the symptoms of Quinquaud's decalvans folliculitis ?
Q06543,What are the symptoms of Diabetes insipidus nephrogenic mental retardation and intracerebral calcification ?
Q06544,What is (are) Congenital myasthenic syndrome ?
Q06545,Is Congenital myasthenic syndrome inherited ?
Q06546,What is (are) Leukonychia totalis ?
Q06547,What are the symptoms of Leukonychia totalis ?
Q06548,What causes Leukonychia totalis ?
Q06549,Is Leukonychia totalis inherited ?
Q06550,What are the treatments for Leukonychia totalis ?
Q06551,What is (are) Limb-girdle muscular dystrophy type 2I ?
Q06552,What are the symptoms of Limb-girdle muscular dystrophy type 2I ?
Q06553,What is (are) Beriberi ?
Q06554,What is (are) X-linked Charcot-Marie-Tooth disease type 5 ?
Q06555,What are the symptoms of X-linked Charcot-Marie-Tooth disease type 5 ?
Q06556,What is (are) Bobble-head doll syndrome ?
Q06557,What are the symptoms of Platyspondylic lethal skeletal dysplasia Torrance type ?
Q06558,What is (are) Primary orthostatic tremor ?
Q06559,What are the symptoms of Primary orthostatic tremor ?
Q06560,What is (are) Polyarteritis nodosa ?
Q06561,What are the symptoms of Polyarteritis nodosa ?
Q06562,What are the treatments for Polyarteritis nodosa ?
Q06563,"What is (are) Ehlers-Danlos syndrome, vascular type ?"
Q06564,"What are the symptoms of Ehlers-Danlos syndrome, vascular type ?"
Q06565,"What causes Ehlers-Danlos syndrome, vascular type ?"
Q06566,"Is Ehlers-Danlos syndrome, vascular type inherited ?"
Q06567,"How to diagnose Ehlers-Danlos syndrome, vascular type ?"
Q06568,"What are the treatments for Ehlers-Danlos syndrome, vascular type ?"
Q06569,What are the symptoms of Retinal cone dystrophy 1 ?
Q06570,What is (are) GM1 gangliosidosis ?
Q06571,What are the symptoms of GM1 gangliosidosis ?
Q06572,What causes GM1 gangliosidosis ?
Q06573,Is GM1 gangliosidosis inherited ?
Q06574,How to diagnose GM1 gangliosidosis ?
Q06575,What are the treatments for GM1 gangliosidosis ?
Q06576,What is (are) Chromosome 3p- syndrome ?
Q06577,What are the symptoms of Chromosome 3p- syndrome ?
Q06578,What causes Chromosome 3p- syndrome ?
Q06579,Is Chromosome 3p- syndrome inherited ?
Q06580,How to diagnose Chromosome 3p- syndrome ?
Q06581,What are the treatments for Chromosome 3p- syndrome ?
Q06582,What is (are) 1q21.1 microdeletion syndrome ?
Q06583,What are the symptoms of 1q21.1 microdeletion syndrome ?
Q06584,What are the symptoms of Lymphedema and cerebral arteriovenous anomaly ?
Q06585,"What are the symptoms of Neuropathy, hereditary motor and sensory, Okinawa type ?"
Q06586,What are the symptoms of Conotruncal heart malformations ?
Q06587,What is (are) Long QT syndrome 8 ?
Q06588,What are the symptoms of Long QT syndrome 8 ?
Q06589,What are the symptoms of Histidinuria renal tubular defect ?
Q06590,What are the symptoms of Camptodactyly syndrome Guadalajara type 3 ?
Q06591,What are the symptoms of MORM syndrome ?
Q06592,What is (are) Thyroglossal tract cyst ?
Q06593,What causes Thyroglossal tract cyst ?
Q06594,What are the treatments for Thyroglossal tract cyst ?
Q06595,What are the symptoms of Hand and foot deformity with flat facies ?
Q06596,What are the symptoms of Proximal chromosome 18q deletion syndrome ?
Q06597,What is (are) Neuronal ceroid lipofuscinosis ?
Q06598,What are the symptoms of Neuronal ceroid lipofuscinosis ?
Q06599,What is (are) Aicardi-Goutieres syndrome type 4 ?
Q06600,What are the symptoms of Aicardi-Goutieres syndrome type 4 ?
Q06601,What are the symptoms of Spinal muscular atrophy type 3 ?
Q06602,What is (are) Laryngomalacia ?
Q06603,What are the symptoms of Laryngomalacia ?
Q06604,Is Laryngomalacia inherited ?
Q06605,"What are the symptoms of Pituitary hormone deficiency, combined 2 ?"
Q06606,What are the symptoms of Multiple epiphyseal dysplasia 1 ?
Q06607,What are the symptoms of 5q- syndrome ?
Q06608,What is (are) Malakoplakia ?
Q06609,What are the symptoms of Mesomelic dwarfism cleft palate camptodactyly ?
Q06610,What is (are) Prinzmetal's variant angina ?
Q06611,What are the symptoms of Prinzmetal's variant angina ?
Q06612,What causes Prinzmetal's variant angina ?
Q06613,What are the treatments for Prinzmetal's variant angina ?
Q06614,What is (are) Arts syndrome ?
Q06615,What are the symptoms of Arts syndrome ?
Q06616,What causes Arts syndrome ?
Q06617,Is Arts syndrome inherited ?
Q06618,What are the symptoms of X-linked magnesium deficiency with Epstein-Barr virus infection and neoplasia ?
Q06619,What are the symptoms of Pontocerebellar hypoplasia type 6 ?
Q06620,"What is (are) Usher syndrome, type 2C ?"
Q06621,"What are the symptoms of Usher syndrome, type 2C ?"
Q06622,"Is Usher syndrome, type 2C inherited ?"
Q06623,What is (are) Iridocorneal endothelial syndrome ?
Q06624,What are the symptoms of Iridocorneal endothelial syndrome ?
Q06625,What causes Iridocorneal endothelial syndrome ?
Q06626,What are the treatments for Iridocorneal endothelial syndrome ?
Q06627,What is (are) Duane syndrome type 2 ?
Q06628,What are the symptoms of Duane syndrome type 2 ?
Q06629,What is (are) Abetalipoproteinemia ?
Q06630,What are the symptoms of Abetalipoproteinemia ?
Q06631,What causes Abetalipoproteinemia ?
Q06632,Is Abetalipoproteinemia inherited ?
Q06633,How to diagnose Abetalipoproteinemia ?
Q06634,What are the treatments for Abetalipoproteinemia ?
Q06635,What are the symptoms of Short limb dwarf lethal Colavita Kozlowski type ?
Q06636,What is (are) X-linked hypophosphatemia ?
Q06637,What are the symptoms of X-linked hypophosphatemia ?
Q06638,What causes X-linked hypophosphatemia ?
Q06639,Is X-linked hypophosphatemia inherited ?
Q06640,How to diagnose X-linked hypophosphatemia ?
Q06641,What are the treatments for X-linked hypophosphatemia ?
Q06642,What is (are) 22q11.2 deletion syndrome ?
Q06643,What are the symptoms of 22q11.2 deletion syndrome ?
Q06644,What causes 22q11.2 deletion syndrome ?
Q06645,Is 22q11.2 deletion syndrome inherited ?
Q06646,What is (are) Adenoameloblastoma ?
Q06647,What causes Adenoameloblastoma ?
Q06648,What are the treatments for Adenoameloblastoma ?
Q06649,What is (are) Idiopathic juxtafoveal retinal telangiectasia ?
Q06650,What are the symptoms of Idiopathic juxtafoveal retinal telangiectasia ?
Q06651,What causes Idiopathic juxtafoveal retinal telangiectasia ?
Q06652,What are the treatments for Idiopathic juxtafoveal retinal telangiectasia ?
Q06653,What are the symptoms of Glomerulonephritis with sparse hair and telangiectases ?
Q06654,What are the symptoms of Frontometaphyseal dysplasia ?
Q06655,What is (are) IBIDS syndrome ?
Q06656,What are the symptoms of IBIDS syndrome ?
Q06657,Is IBIDS syndrome inherited ?
Q06658,What are the treatments for IBIDS syndrome ?
Q06659,What are the symptoms of Selig Benacerraf Greene syndrome ?
Q06660,What are the symptoms of Benign paroxysmal positional vertigo ?
Q06661,What is (are) Autoimmune autonomic ganglionopathy ?
Q06662,What are the symptoms of Autoimmune autonomic ganglionopathy ?
Q06663,What causes Autoimmune autonomic ganglionopathy ?
Q06664,What are the treatments for Autoimmune autonomic ganglionopathy ?
Q06665,What is (are) Stuve-Wiedemann syndrome ?
Q06666,What are the symptoms of Stuve-Wiedemann syndrome ?
Q06667,What is (are) Lipodermatosclerosis ?
Q06668,What are the symptoms of Lipodermatosclerosis ?
Q06669,What causes Lipodermatosclerosis ?
Q06670,How to diagnose Lipodermatosclerosis ?
Q06671,What are the treatments for Lipodermatosclerosis ?
Q06672,What are the symptoms of Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia ?
Q06673,What is (are) Robinow syndrome ?
Q06674,What are the symptoms of Robinow syndrome ?
Q06675,Is Robinow syndrome inherited ?
Q06676,How to diagnose Robinow syndrome ?
Q06677,What is (are) Malaria ?
Q06678,What are the symptoms of Malaria ?
Q06679,What is (are) HTLV-1 associated myelopathy/tropical spastic paraparesis ?
Q06680,What are the symptoms of HTLV-1 associated myelopathy/tropical spastic paraparesis ?
Q06681,What are the treatments for HTLV-1 associated myelopathy/tropical spastic paraparesis ?
Q06682,What is (are) SAPHO syndrome ?
Q06683,What are the symptoms of SAPHO syndrome ?
Q06684,What are the treatments for SAPHO syndrome ?
Q06685,What are the symptoms of Leber congenital amaurosis 2 ?
Q06686,What are the symptoms of Amyloidosis familial visceral ?
Q06687,What are the symptoms of Corneodermatoosseous syndrome ?
Q06688,What are the symptoms of Osteodysplasia familial Anderson type ?
Q06689,What is (are) Niemann-Pick disease type A ?
Q06690,What are the symptoms of Niemann-Pick disease type A ?
Q06691,What are the treatments for Niemann-Pick disease type A ?
Q06692,What is (are) Wolffian tumor ?
Q06693,What is (are) Chromosome 6q deletion ?
Q06694,"What is (are) Emery-Dreifuss muscular dystrophy, dominant type ?"
Q06695,What are the symptoms of Brachydactyly type A4 ?
Q06696,What is (are) Freiberg's disease ?
Q06697,What are the symptoms of Freiberg's disease ?
Q06698,What causes Freiberg's disease ?
Q06699,How to diagnose Freiberg's disease ?
Q06700,What are the treatments for Freiberg's disease ?
Q06701,What are the symptoms of Bardet-Biedl syndrome 2 ?
Q06702,What are the symptoms of Uhl anomaly ?
Q06703,What is (are) Pseudohypoaldosteronism type 2 ?
Q06704,What are the symptoms of Pseudohypoaldosteronism type 2 ?
Q06705,What causes Pseudohypoaldosteronism type 2 ?
Q06706,How to diagnose Pseudohypoaldosteronism type 2 ?
Q06707,What are the treatments for Pseudohypoaldosteronism type 2 ?
Q06708,What are the symptoms of Weyers acrofacial dysostosis ?
Q06709,What are the symptoms of Autosomal dominant optic atrophy plus syndrome ?
Q06710,What is (are) Mondor disease ?
Q06711,What are the symptoms of Leucine-sensitive hypoglycemia of infancy ?
Q06712,What are the symptoms of Odonto onycho dysplasia with alopecia ?
Q06713,What is (are) Kyrle disease ?
Q06714,What are the symptoms of Kyrle disease ?
Q06715,What causes Kyrle disease ?
Q06716,What are the treatments for Kyrle disease ?
Q06717,What is (are) Carney complex ?
Q06718,What are the symptoms of Carney complex ?
Q06719,What is (are) Pantothenate kinase-associated neurodegeneration ?
Q06720,What are the symptoms of Pantothenate kinase-associated neurodegeneration ?
Q06721,What are the treatments for Pantothenate kinase-associated neurodegeneration ?
Q06722,What are the symptoms of Chromosome 17q11.2 deletion syndrome ?
Q06723,What is (are) Erdheim-Chester disease ?
Q06724,What are the symptoms of Erdheim-Chester disease ?
Q06725,What causes Erdheim-Chester disease ?
Q06726,What is (are) Split hand split foot malformation autosomal recessive ?
Q06727,What are the symptoms of SeSAME syndrome ?
Q06728,What are the symptoms of Dandy-Walker malformation with facial hemangioma ?
Q06729,What is (are) Hemochromatosis ?
Q06730,What are the symptoms of Hemochromatosis ?
Q06731,What causes Hemochromatosis ?
Q06732,Is Hemochromatosis inherited ?
Q06733,What are the symptoms of Spinocerebellar ataxia 21 ?
Q06734,What are the symptoms of Morquio syndrome B ?
Q06735,What is (are) Chromosome 16q deletion ?
Q06736,What are the symptoms of Anemia sideroblastic and spinocerebellar ataxia ?
Q06737,What are the symptoms of SCARF syndrome ?
Q06738,What is (are) Mercury poisoning ?
Q06739,What are the symptoms of Chudley-Mccullough syndrome ?
Q06740,What is (are) Warthin tumor ?
Q06741,What are the symptoms of Warthin tumor ?
Q06742,What causes Warthin tumor ?
Q06743,How to diagnose Warthin tumor ?
Q06744,What are the treatments for Warthin tumor ?
Q06745,What are the symptoms of Karak syndrome ?
Q06746,What are the symptoms of Dystonia 11 ?
Q06747,What is (are) Sotos syndrome ?
Q06748,What are the symptoms of Sotos syndrome ?
Q06749,Is Sotos syndrome inherited ?
Q06750,What are the symptoms of Acrorenal mandibular syndrome ?
Q06751,What are the symptoms of Fibular hypoplasia and complex brachydactyly ?
Q06752,What is (are) Antisynthetase syndrome ?
Q06753,What are the symptoms of Antisynthetase syndrome ?
Q06754,What causes Antisynthetase syndrome ?
Q06755,How to diagnose Antisynthetase syndrome ?
Q06756,What are the treatments for Antisynthetase syndrome ?
Q06757,What is (are) Congenital pulmonary alveolar proteinosis ?
Q06758,What are the symptoms of Congenital pulmonary alveolar proteinosis ?
Q06759,"What are the symptoms of Cardiac valvular dysplasia, X-linked ?"
Q06760,What are the symptoms of Thompson Baraitser syndrome ?
Q06761,What are the symptoms of Gorlin Bushkell Jensen syndrome ?
Q06762,What is (are) Glioblastoma ?
Q06763,What are the symptoms of Glioblastoma ?
Q06764,What causes Glioblastoma ?
Q06765,Is Glioblastoma inherited ?
Q06766,How to diagnose Glioblastoma ?
Q06767,What are the treatments for Glioblastoma ?
Q06768,What is (are) Goldberg-Shprintzen megacolon syndrome ?
Q06769,What are the symptoms of Goldberg-Shprintzen megacolon syndrome ?
Q06770,What is (are) Occipital horn syndrome ?
Q06771,What are the symptoms of Occipital horn syndrome ?
Q06772,How to diagnose Occipital horn syndrome ?
Q06773,What is (are) Frontotemporal dementia ?
Q06774,What are the symptoms of Frontotemporal dementia ?
Q06775,What are the symptoms of Trichothiodystrophy photosensitive ?
Q06776,What is (are) Pseudohypoparathyroidism ?
Q06777,What is (are) Aquagenic pruritus ?
Q06778,What are the symptoms of Aquagenic pruritus ?
Q06779,What causes Aquagenic pruritus ?
Q06780,How to diagnose Aquagenic pruritus ?
Q06781,What are the treatments for Aquagenic pruritus ?
Q06782,What is (are) Costello syndrome ?
Q06783,What are the symptoms of Costello syndrome ?
Q06784,What are the symptoms of Sillence syndrome ?
Q06785,What are the symptoms of Bardet-Biedl syndrome 11 ?
Q06786,What is (are) Osteopetrosis autosomal recessive 5 ?
Q06787,What are the symptoms of Osteopetrosis autosomal recessive 5 ?
Q06788,What are the symptoms of Loeys-Dietz syndrome type 4 ?
Q06789,What is (are) Fine-Lubinsky syndrome ?
Q06790,What are the symptoms of Fine-Lubinsky syndrome ?
Q06791,What causes Fine-Lubinsky syndrome ?
Q06792,Is Fine-Lubinsky syndrome inherited ?
Q06793,How to diagnose Fine-Lubinsky syndrome ?
Q06794,What is (are) Lynch syndrome ?
Q06795,What are the symptoms of Lynch syndrome ?
Q06796,What causes Lynch syndrome ?
Q06797,Is Lynch syndrome inherited ?
Q06798,How to diagnose Lynch syndrome ?
Q06799,What is (are) Multicentric reticulohistiocytosis ?
Q06800,What are the symptoms of Multicentric reticulohistiocytosis ?
Q06801,What are the treatments for Multicentric reticulohistiocytosis ?
Q06802,What is (are) Portal hypertension ?
Q06803,What is (are) ADNP syndrome ?
Q06804,What are the symptoms of ADNP syndrome ?
Q06805,What is (are) Colpocephaly ?
Q06806,What are the symptoms of Colpocephaly ?
Q06807,What causes Colpocephaly ?
Q06808,What are the treatments for Colpocephaly ?
Q06809,What is (are) Hemophagocytic lymphohistiocytosis ?
Q06810,What are the symptoms of Hemophagocytic lymphohistiocytosis ?
Q06811,What causes Hemophagocytic lymphohistiocytosis ?
Q06812,Is Hemophagocytic lymphohistiocytosis inherited ?
Q06813,How to diagnose Hemophagocytic lymphohistiocytosis ?
Q06814,What are the treatments for Hemophagocytic lymphohistiocytosis ?
Q06815,What is (are) Glucose transporter type 1 deficiency syndrome ?
Q06816,What are the symptoms of Glucose transporter type 1 deficiency syndrome ?
Q06817,What causes Glucose transporter type 1 deficiency syndrome ?
Q06818,Is Glucose transporter type 1 deficiency syndrome inherited ?
Q06819,How to diagnose Glucose transporter type 1 deficiency syndrome ?
Q06820,What are the treatments for Glucose transporter type 1 deficiency syndrome ?
Q06821,What are the symptoms of Dyssegmental dysplasia Silverman-Handmaker type ?
Q06822,What is (are) Biotinidase deficiency ?
Q06823,What are the symptoms of Biotinidase deficiency ?
Q06824,What is (are) Plasma cell leukemia ?
Q06825,What is (are) Autoimmune polyglandular syndrome type 1 ?
Q06826,What are the symptoms of Autoimmune polyglandular syndrome type 1 ?
Q06827,What are the symptoms of Annular pancreas ?
Q06828,What are the symptoms of Spinocerebellar ataxia autosomal recessive 5 ?
Q06829,What are the symptoms of Familial hypocalciuric hypercalcemia type 3 ?
Q06830,What is (are) Trisomy 2 mosaicism ?
Q06831,What is (are) C1q nephropathy ?
Q06832,What are the symptoms of Seminoma ?
Q06833,What is (are) Epithelioid sarcoma ?
Q06834,What are the symptoms of Dens in dente and palatal invaginations ?
Q06835,What are the symptoms of Quebec platelet disorder ?
Q06836,What is (are) Stargardt disease ?
Q06837,What are the symptoms of Stargardt disease ?
Q06838,Is Stargardt disease inherited ?
Q06839,How to diagnose Stargardt disease ?
Q06840,What are the treatments for Stargardt disease ?
Q06841,"What are the symptoms of Nystagmus 1, congenital, X- linked ?"
Q06842,What is (are) Kaposi sarcoma ?
Q06843,What are the symptoms of Kaposi sarcoma ?
Q06844,What are the symptoms of Corneal dystrophy of Bowman layer type 1 ?
Q06845,What is (are) Chromosome 9 inversion ?
Q06846,What are the symptoms of Familial eosinophilia ?
Q06847,What are the symptoms of Dyskeratosis congenita autosomal dominant ?
Q06848,"What are the symptoms of Tremor hereditary essential, 2 ?"
Q06849,What is (are) Retinal vasculopathy with cerebral leukodystrophy ?
Q06850,What are the symptoms of Retinal vasculopathy with cerebral leukodystrophy ?
Q06851,What is (are) Troyer syndrome ?
Q06852,What are the symptoms of Troyer syndrome ?
Q06853,What causes Troyer syndrome ?
Q06854,Is Troyer syndrome inherited ?
Q06855,What are the treatments for Troyer syndrome ?
Q06856,What is (are) Glycogen storage disease type 7 ?
Q06857,What are the symptoms of Glycogen storage disease type 7 ?
Q06858,What are the symptoms of Chromosome 17p13.1 deletion syndrome ?
Q06859,What are the symptoms of Tetraamelia with ectodermal dysplasia and lacrimal duct abnormalities ?
Q06860,"What are the symptoms of Renal tubulopathy, diabetes mellitus, and cerebellar ataxia due to duplication of mitochondrial DNA ?"
Q06861,"What are the symptoms of Coloboma, cleft lip/palate and mental retardation syndrome ?"
Q06862,What is (are) Multiple myeloma ?
Q06863,What are the symptoms of Multiple myeloma ?
Q06864,What causes Multiple myeloma ?
Q06865,How to diagnose Multiple myeloma ?
Q06866,What are the treatments for Multiple myeloma ?
Q06867,What is (are) Focal dystonia ?
Q06868,What are the symptoms of Focal dystonia ?
Q06869,"What is (are) Polyhydramnios, megalencephaly, and symptomatic epilepsy syndrome ?"
Q06870,"What are the symptoms of Polyhydramnios, megalencephaly, and symptomatic epilepsy syndrome ?"
Q06871,What is (are) Long QT syndrome 1 ?
Q06872,What are the symptoms of Long QT syndrome 1 ?
Q06873,What are the symptoms of Orofaciodigital syndrome 11 ?
Q06874,What is (are) Exstrophy-epispadias complex ?
Q06875,What are the symptoms of Battaglia-Neri syndrome ?
Q06876,"What are the symptoms of Ectodermal dysplasia, hidrotic, Christianson-Fourie type ?"
Q06877,What are the symptoms of Dementia familial British ?
Q06878,What are the symptoms of T-cell lymphoma 1A ?
Q06879,What is (are) Chancroid ?
Q06880,What is (are) Hennekam syndrome ?
Q06881,What are the symptoms of Hennekam syndrome ?
Q06882,What are the symptoms of GOSR2-related progressive myoclonus ataxia ?
Q06883,What is (are) Von Willebrand disease ?
Q06884,What are the symptoms of Von Willebrand disease ?
Q06885,What causes Von Willebrand disease ?
Q06886,Is Von Willebrand disease inherited ?
Q06887,What are the symptoms of Familial episodic pain syndrome ?
Q06888,What is (are) Myoepithelial carcinoma ?
Q06889,What are the treatments for Myoepithelial carcinoma ?
Q06890,"What are the symptoms of Epidermolysis bullosa simplex, Ogna type ?"
Q06891,What are the symptoms of Multiple self healing squamous epithelioma ?
Q06892,"What are the symptoms of Dentin dysplasia, type 1 ?"
Q06893,What is (are) Filippi syndrome ?
Q06894,What are the symptoms of Filippi syndrome ?
Q06895,What are the treatments for Filippi syndrome ?
Q06896,What are the symptoms of Pseudoainhum ?
Q06897,What is (are) Hemorrhagic shock and encephalopathy syndrome ?
Q06898,What causes Hemorrhagic shock and encephalopathy syndrome ?
Q06899,What is (are) Congenital primary aphakia ?
Q06900,What are the symptoms of Congenital primary aphakia ?
Q06901,What is (are) Wandering spleen ?
Q06902,What are the treatments for Wandering spleen ?
Q06903,"What are the symptoms of Spondyloepimetaphyseal dysplasia, Aggrecan type ?"
Q06904,What are the symptoms of Priapism ?
Q06905,What is (are) Inflammatory myofibroblastic tumor ?
Q06906,What causes Inflammatory myofibroblastic tumor ?
Q06907,What is (are) Hantavirus pulmonary syndrome ?
Q06908,What is (are) Branchiootorenal syndrome ?
Q06909,What are the symptoms of Branchiootorenal syndrome ?
Q06910,What causes Branchiootorenal syndrome ?
Q06911,Is Branchiootorenal syndrome inherited ?
Q06912,What are the treatments for Branchiootorenal syndrome ?
Q06913,What is (are) Mosaic trisomy 8 ?
Q06914,What are the symptoms of Mosaic trisomy 8 ?
Q06915,What are the symptoms of Spinocerebellar ataxia X-linked type 3 ?
Q06916,What are the symptoms of Microcephaly-albinism-digital anomalies syndrome ?
Q06917,What is (are) Coccygodynia ?
Q06918,What are the symptoms of Coccygodynia ?
Q06919,What causes Coccygodynia ?
Q06920,What are the treatments for Coccygodynia ?
Q06921,What is (are) Ewing sarcoma ?
Q06922,What are the symptoms of Ewing sarcoma ?
Q06923,What causes Ewing sarcoma ?
Q06924,Is Ewing sarcoma inherited ?
Q06925,"What is (are) 47, XYY syndrome ?"
Q06926,"What causes 47, XYY syndrome ?"
Q06927,"Is 47, XYY syndrome inherited ?"
Q06928,What is (are) Laron syndrome ?
Q06929,What are the symptoms of Laron syndrome ?
Q06930,What causes Laron syndrome ?
Q06931,Is Laron syndrome inherited ?
Q06932,How to diagnose Laron syndrome ?
Q06933,What are the treatments for Laron syndrome ?
Q06934,What are the symptoms of Osteoporosis-pseudoglioma syndrome ?
Q06935,What are the symptoms of DCMA syndrome ?
Q06936,What is (are) Familial stomach cancer ?
Q06937,What are the symptoms of Multicentric osteolysis nephropathy ?
Q06938,What are the symptoms of Retinal arterial macroaneurysm with supravalvular pulmonic stenosis ?
Q06939,What is (are) Systemic scleroderma ?
Q06940,What are the symptoms of Systemic scleroderma ?
Q06941,What causes Systemic scleroderma ?
Q06942,Is Systemic scleroderma inherited ?
Q06943,How to diagnose Systemic scleroderma ?
Q06944,What is (are) 2q37 deletion syndrome ?
Q06945,What are the symptoms of 2q37 deletion syndrome ?
Q06946,What causes 2q37 deletion syndrome ?
Q06947,Is 2q37 deletion syndrome inherited ?
Q06948,What is (are) Pachygyria ?
Q06949,What are the symptoms of Pachygyria ?
Q06950,What causes Pachygyria ?
Q06951,What are the treatments for Pachygyria ?
Q06952,What is (are) Pudendal Neuralgia ?
Q06953,What are the treatments for Pudendal Neuralgia ?
Q06954,What are the symptoms of Thoraco abdominal enteric duplication ?
Q06955,What is (are) Chanarin-Dorfman syndrome ?
Q06956,What are the symptoms of Chanarin-Dorfman syndrome ?
Q06957,What is (are) Squamous cell carcinoma ?
Q06958,What are the treatments for Squamous cell carcinoma ?
Q06959,What is (are) Myotonic dystrophy type 1 ?
Q06960,What are the symptoms of Myotonic dystrophy type 1 ?
Q06961,Is Myotonic dystrophy type 1 inherited ?
Q06962,What are the treatments for Myotonic dystrophy type 1 ?
Q06963,What is (are) Achalasia ?
Q06964,What are the symptoms of Achalasia ?
Q06965,What causes Achalasia ?
Q06966,How to diagnose Achalasia ?
Q06967,What are the treatments for Achalasia ?
Q06968,"What are the symptoms of Progressive external ophthalmoplegia, autosomal recessive 1 ?"
Q06969,What is (are) Fournier gangrene ?
Q06970,What are the symptoms of Woolly hair hypotrichosis everted lower lip and outstanding ears ?
Q06971,What is (are) Restless legs syndrome ?
Q06972,What is (are) Ligneous conjunctivitis ?
Q06973,What are the symptoms of Carnevale syndrome ?
Q06974,What are the symptoms of Spondyloepimetaphyseal dysplasia X-linked ?
Q06975,What is (are) Mucopolysaccharidosis type IVA ?
Q06976,What are the symptoms of Mucopolysaccharidosis type IVA ?
Q06977,"What are the symptoms of Thyrotropin deficiency, isolated ?"
Q06978,What are the symptoms of Fructosuria ?
Q06979,What is (are) Pycnodysostosis ?
Q06980,What are the symptoms of Pycnodysostosis ?
Q06981,What is (are) Deafness and myopia syndrome ?
Q06982,What are the symptoms of Deafness and myopia syndrome ?
Q06983,What are the symptoms of Ramos Arroyo Clark syndrome ?
Q06984,What is (are) Glutathione synthetase deficiency ?
Q06985,What are the symptoms of Glutathione synthetase deficiency ?
Q06986,What is (are) Nonspherocytic hemolytic anemia due to hexokinase deficiency ?
Q06987,What are the symptoms of Nonspherocytic hemolytic anemia due to hexokinase deficiency ?
Q06988,What causes Nonspherocytic hemolytic anemia due to hexokinase deficiency ?
Q06989,Is Nonspherocytic hemolytic anemia due to hexokinase deficiency inherited ?
Q06990,What are the treatments for Nonspherocytic hemolytic anemia due to hexokinase deficiency ?
Q06991,What is (are) Isobutyryl-CoA dehydrogenase deficiency ?
Q06992,What are the symptoms of Isobutyryl-CoA dehydrogenase deficiency ?
Q06993,What causes Isobutyryl-CoA dehydrogenase deficiency ?
Q06994,Is Isobutyryl-CoA dehydrogenase deficiency inherited ?
Q06995,What are the treatments for Isobutyryl-CoA dehydrogenase deficiency ?
Q06996,What are the symptoms of Congenital myasthenic syndrome with episodic apnea ?
Q06997,What are the symptoms of Intrauterine growth retardation with increased mitomycin C sensitivity ?
Q06998,What are the symptoms of Tetraploidy ?
Q06999,What is (are) Prurigo nodularis ?
Q07000,What are the treatments for Prurigo nodularis ?
Q07001,What are the symptoms of Gorlin Chaudhry Moss syndrome ?
Q07002,What is (are) Neuropathy ataxia retinitis pigmentosa syndrome ?
Q07003,What are the symptoms of Neuropathy ataxia retinitis pigmentosa syndrome ?
Q07004,What is (are) Hepatoblastoma ?
Q07005,What are the symptoms of Hepatoblastoma ?
Q07006,What are the symptoms of Pseudoaminopterin syndrome ?
Q07007,What are the symptoms of Rommen Mueller Sybert syndrome ?
Q07008,What is (are) Gardner syndrome ?
Q07009,What are the symptoms of Gardner syndrome ?
Q07010,What causes Gardner syndrome ?
Q07011,Is Gardner syndrome inherited ?
Q07012,How to diagnose Gardner syndrome ?
Q07013,What are the treatments for Gardner syndrome ?
Q07014,What is (are) Pili annulati ?
Q07015,What are the symptoms of Pili annulati ?
Q07016,What is (are) Necrotizing fasciitis ?
Q07017,What are the symptoms of Necrotizing fasciitis ?
Q07018,What causes Necrotizing fasciitis ?
Q07019,What are the treatments for Necrotizing fasciitis ?
Q07020,"What are the symptoms of Anti-plasmin deficiency, congenital ?"
Q07021,What is (are) Celiac artery compression syndrome ?
Q07022,What are the symptoms of Celiac artery compression syndrome ?
Q07023,What causes Celiac artery compression syndrome ?
Q07024,How to diagnose Celiac artery compression syndrome ?
Q07025,What are the treatments for Celiac artery compression syndrome ?
Q07026,What is (are) Mucopolysaccharidosis type IIIB ?
Q07027,What are the symptoms of Mucopolysaccharidosis type IIIB ?
Q07028,What are the symptoms of Charcot-Marie-Tooth disease type 2J ?
Q07029,"What are the symptoms of Epidermolysis bullosa, lethal acantholytic ?"
Q07030,What is (are) VLCAD deficiency ?
Q07031,What are the symptoms of VLCAD deficiency ?
Q07032,What causes VLCAD deficiency ?
Q07033,Is VLCAD deficiency inherited ?
Q07034,How to diagnose VLCAD deficiency ?
Q07035,What are the treatments for VLCAD deficiency ?
Q07036,What are the symptoms of Irons Bhan syndrome ?
Q07037,What is (are) Dermatofibrosarcoma protuberans ?
Q07038,What are the symptoms of Dermatofibrosarcoma protuberans ?
Q07039,What causes Dermatofibrosarcoma protuberans ?
Q07040,"What is (are) Familial amyloidosis, Finnish type ?"
Q07041,"What are the symptoms of Familial amyloidosis, Finnish type ?"
Q07042,What are the symptoms of Dystonia 16 ?
Q07043,What is (are) Erythema multiforme ?
